Estadísticos;Repetición;Tiempo (micros);Fuerza (N);RFD (N/s)
Diferencia;;67753944;-43,7;-119,637
Promedio;;;1628,546;-0,645
Máximo;;;2798,72;12261,013

Muestra;Repetición;Tiempo (micros);Fuerza (N);RFD (N/s)
3018;0;34655668;2337,43;593,228
3019;0;34667156;2342,69;-303,202
3020;0;34678656;2330,46;-998,086
3021;0;34690140;2319,75;-772,814
3022;0;34701624;2312,71;-293,683
3023;0;34713124;2313;630,007
3024;0;34724592;2327,18;705,765
3025;0;34736092;2329,21;-70,447
3026;0;34747588;2325,56;-636,641
3027;10;34759072;2314,58;-829,85
3028;10;34770556;2306,5;-33,937
3029;10;34782056;2313,8;733,554
3030;10;34793540;2323,36;701,915
3031;10;34805036;2329,93;449,8
3032;10;34816528;2333,7;-8,269
3033;10;34828012;2329,74;-635,66
3034;10;34839512;2319,09;-382,875
3035;10;34850996;2320,94;823,468
3036;10;34862488;2338,01;1407,991
3037;10;34873972;2353,29;982,516
3038;10;34885480;2360,6;167,884
3039;10;34896964;2357,15;-314,621
3040;10;34908460;2353,37;-593,56
3041;10;34919944;2343,51;-845,377
3042;10;34931432;2333,95;-578,865
3043;10;34942920;2330,21;83,957
3044;10;34954420;2335,88;751,958
3045;10;34965900;2347,49;990,681
3046;10;34977384;2358,63;1161,911
3047;10;34988888;2374,2;1416,957
3048;10;35000384;2391,22;997,303
3049;10;35011880;2397,13;-130,961
3050;10;35023368;2388,21;-1169,889
3051;10;35034848;2370,26;-1480,933
3052;10;35046340;2354,19;-981,987
3053;10;35057832;2347,69;-93,56
3054;10;35069320;2352,04;727,099
3055;10;35080800;2364,39;1720,191
3056;10;35092300;2391,57;1758,18
3057;10;35103784;2404,8;422,762
3058;10;35115268;2401,28;-296,396
3059;10;35126760;2397,99;-76,153
3060;10;35138248;2399,53;-33,943
3061;10;35149740;2397,21;-474,761
3062;10;35161228;2388,62;-494,429
3063;10;35172716;2385,85;19,586
3064;10;35184204;2389,07;771,374
3065;10;35195688;2403,57;1136,601
3066;10;35207176;2415,18;683,203
3067;10;35218668;2419,27;914,273
3068;10;35230156;2436,19;1832,231
3069;10;35241640;2461,36;1400,54
3070;0;35253140;2468,38;115,298
3071;0;35264624;2464,01;-804,893
3072;0;35276112;2449,89;-2120,104
3073;0;35287604;2415,29;-3005,828
3074;0;35299104;2380,78;-1705,099
3075;0;35310588;2376,1;776,762
3076;0;35322084;2398,63;2165,796
3077;0;35333568;2425,87;1856,061
3078;0;35345052;2441,26;630,439
3079;0;35356552;2440,36;-731,432
3080;0;35368048;2424,44;-1911,662
3081;0;35379532;2396,43;-2567,45
3082;11;35391028;2365,44;-2016,185
3083;11;35402516;2350,09;-50,923
3084;11;35414004;2364,27;2216,324
3085;11;35425500;2401,03;2518,27
3086;11;35436992;2422,16;762,535
3087;11;35448476;2418,55;-579,3
3088;11;35459968;2408,85;-922,816
3089;11;35471460;2397,34;-545,692
3090;11;35482948;2396,31;-335,016
3091;11;35494444;2389,64;-114,408
3092;11;35505936;2393,68;605,414
3093;11;35517420;2403,55;1265,454
3094;11;35528908;2422,75;2036,554
3095;11;35540400;2450,35;2092,689
3096;11;35551888;2470,84;1038,04
3097;0;35563376;2474,2;-599,112
3098;0;35574872;2457,07;-2153,672
3099;0;35586360;2424,7;-3080,839
3100;0;35597856;2386,26;-2137,076
3101;0;35609340;2375,59;740,95
3102;0;35620840;2403,29;2281,587
3103;0;35632324;2428,03;1242,601
3104;0;35643816;2431,84;-139,276
3105;0;35655300;2424,83;-1110,338
3106;0;35666800;2406,32;-1841,396
3107;0;35678288;2382,5;-1288,077
3108;0;35689780;2376,72;601,828
3109;0;35701268;2396,33;1885,01
3110;0;35712756;2420,03;1191,243
3111;0;35724244;2423,7;422,106
3112;0;35735736;2429,73;259,791
3113;0;35747224;2429,67;-454,387
3114;0;35758712;2419,29;-388,666
3115;0;35770200;2420,74;63,98
3116;0;35781688;2420,76;-287,306
3117;0;35793172;2414,14;-723,673
3118;0;35804668;2404,13;-1217,792
3119;0;35816148;2386,16;-1735,422
3120;0;35827648;2364,25;-1560,814
3121;0;35839136;2350,28;81,81
3122;0;35850628;2366,13;1450,392
3123;0;35862116;2383,61;1167,102
3124;0;35873608;2392,95;335,132
3125;0;35885092;2391,31;-778,503
3126;0;35896588;2375,06;-1090,949
3127;0;35908072;2366,24;-771,073
3128;0;35919556;2357,35;-1073,604
3129;0;35931060;2341,56;-1378,545
3130;0;35942544;2325,66;-1288,301
3131;0;35954036;2311,96;-417,755
3132;0;35965524;2316,06;974,93
3133;0;35977012;2334,36;1204,751
3134;0;35988508;2343,75;380,198
3135;0;36000000;2343,1;45,692
3136;0;36011488;2344,8;40,049
3137;0;36022972;2344,02;-43,951
3138;0;36034468;2343,79;489,821
3139;0;36045960;2355,28;1272,189
3140;0;36057452;2373,03;1343,777
3141;0;36068940;2386,16;658,834
3142;0;36080432;2388,17;175,744
3143;0;36091928;2390,2;114,883
3144;0;36103412;2390,81;-227,589
3145;0;36114908;2384,97;-465,187
3146;0;36126392;2380,12;-755,308
3147;0;36137892;2367,61;-958,326
3148;0;36149380;2358,09;-578,43
3149;0;36160868;2354,32;-560,39
3150;0;36172364;2345,21;-722,986
3151;0;36183856;2337,7;-581,274
3152;0;36195348;2331,85;-291,173
3153;0;36206832;2331,01;-198,033
3154;0;36218324;2327,3;-289,868
3155;0;36229808;2324,35;-423,773
3156;0;36241308;2317,56;-548,791
3157;0;36252804;2311,73;-190,969
3158;0;36264296;2313,17;93,56
3159;0;36275784;2313,88;-20,021
3160;0;36287272;2312,71;71,789
3161;0;36298768;2315,53;203,62
3162;0;36310256;2317,39;-129,678
3163;0;36321748;2312,55;-84,871
3164;0;36333232;2315,44;824,338
3165;0;36344724;2331,49;1080,999
3166;0;36356220;2340,29;6,96
3167;0;36367712;2331,65;-1024,983
3168;0;36379196;2316,74;-900,07
3169;0;36390688;2310,97;-958,058
3170;0;36402180;2294,72;-933,531
3171;0;36413676;2289,51;533,85
3172;0;36425164;2306,99;1289,831
3173;0;36436648;2319,14;947,51
3174;0;36448140;2328,76;928,745
3175;0;36459636;2340,49;647,084
3176;0;36471120;2343,63;-181,09
3177;0;36482608;2336,33;-882,942
3178;0;36494100;2323,34;-641,104
3179;0;36505584;2321,6;77,907
3180;0;36517076;2325,13;731,07
3181;0;36528564;2338,4;1360,787
3182;0;36540048;2356,39;1329,824
3183;0;36551552;2368,97;953,106
3184;0;36563036;2378,3;224,582
3185;0;36574528;2374,13;-916,406
3186;0;36586028;2357,23;-2107,118
3187;0;36597512;2325,7;-2159,645
3188;0;36609004;2307,61;-744,56
3189;0;36620492;2308,59;877,285
3190;0;36631984;2327,77;1488,51
3191;0;36643468;2342,79;854,37
3192;0;36654960;2347,4;50,896
3193;0;36666456;2343,96;-771,976
3194;0;36677940;2329,66;-1001,741
3195;0;36689436;2320,94;-400,783
3196;0;36700920;2320,45;55,275
3197;0;36712412;2322,21;-38,281
3198;0;36723908;2319,57;-347,258
3199;0;36735392;2314,23;-495,821
3200;0;36746880;2308,18;-364,973
3201;0;36758380;2305,84;85,712
3202;0;36769864;2310,15;585,727
3203;0;36781360;2319,3;775,757
3204;0;36792848;2327,98;943,051
3205;0;36804328;2340,96;1101,393
3206;0;36815828;2353,29;1031,152
3207;0;36827312;2364,66;585,727
3208;0;36838808;2366,75;-277,488
3209;0;36850304;2358,28;-1065,524
3210;0;36861792;2342,26;-1453,185
3211;0;36873288;2324,88;-1461,96
3212;0;36884768;2308,67;-1519,241
3213;0;36896260;2289,98;-672,006
3214;0;36907744;2293,23;763,14
3215;0;36919244;2307,52;1685,955
3216;0;36930728;2331,98;2123,151
3217;0;36942224;2356,31;1206,701
3218;0;36953708;2359,71;-566,144
3219;0;36965204;2343,3;-1843,342
3220;0;36976688;2317,35;-1638,816
3221;0;36988184;2305,64;157,963
3222;0;36999668;2320,98;1496,255
3223;0;37011148;2340;2030,38
3224;0;37022644;2367,63;1697,982
3225;0;37034140;2379,04;-563,969
3226;0;37045624;2354,67;-2675,836
3227;0;37057116;2317,56;-3002,523
3228;12;37068608;2285,66;-2186,739
3229;12;37080100;2267,3;-696,693
3230;12;37091588;2269,65;1088,281
3231;12;37103072;2292,3;1830,925
3232;12;37114560;2311,71;1554,395
3233;12;37126052;2328,02;989,991
3234;12;37137540;2334,46;72,224
3235;12;37149036;2329,68;-974,761
3236;12;37160520;2312,06;-1787,269
3237;12;37172004;2288,63;-1356,36
3238;12;37183508;2280,88;-230,99
3239;12;37194992;2283,32;1100,522
3240;12;37206488;2306,17;1987,815
3241;12;37217972;2329;1429,815
3242;12;37229456;2339,01;617,821
3243;12;37240956;2343,2;-112,193
3244;12;37252452;2336,43;-957,789
3245;12;37263936;2321,19;-833,914
3246;12;37275428;2317,27;-21,75
3247;12;37286924;2320,69;776,762
3248;12;37298408;2335,12;1379,46
3249;12;37309904;2352,39;879,025
3250;12;37321388;2355,32;-342,096
3251;12;37332880;2344,53;-1743,255
3252;12;37344368;2315,26;-2574,835
3253;12;37355864;2285,35;-1311,989
3254;12;37367356;2285,1;1425,339
3255;12;37378848;2318,11;3293,022
3256;12;37390344;2360,8;3281,549
3257;12;37401828;2393,52;1889,034
3258;0;37413324;2404,21;140,097
3259;0;37424812;2396,74;-1921,236
3260;0;37436304;2360,06;-3746,954
3261;0;37447796;2310,62;-3601,201
3262;0;37459288;2277,29;-1468,489
3263;0;37470772;2276,88;1460,655
3264;0;37482264;2310,85;3096,067
3265;0;37493756;2348,04;1947,442
3266;0;37505248;2355,61;54,376
3267;0;37516744;2349,29;-164,926
3268;0;37528228;2351,82;12,622
3269;0;37539720;2349,58;-196,624
3270;0;37551216;2347,3;16,095
3271;0;37562708;2349,95;314,186
3272;0;37574196;2354,52;627,502
3273;0;37585688;2364,37;395,561
3274;0;37597176;2363,61;-139,276
3275;0;37608664;2361,17;112,726
3276;0;37620152;2366,2;281,163
3277;0;37631640;2367,63;-294,604
3278;0;37643132;2359,43;-1156,255
3279;0;37654628;2341,05;-1579,474
3280;0;37666108;2323,14;-1203,865
3281;0;37677604;2313,39;340,612
3282;0;37689096;2330,97;1932,016
3283;0;37700580;2357,78;1838,99
3284;0;37712076;2373,23;791,855
3285;0;37723564;2375,98;-6,965
3286;0;37735048;2373,07;-13,492
3287;0;37746540;2375,67;-264,051
3288;0;37758036;2367;-1025,674
3289;0;37769520;2352,1;-1559,018
3290;0;37781012;2331,18;-1918,19
3291;0;37792500;2308,02;-1022,549
3292;0;37803984;2307,69;804,178
3293;0;37815480;2326,5;1591,265
3294;0;37826972;2344,27;998,433
3295;0;37838456;2349,44;35,689
3296;0;37849948;2345,09;-529,775
3297;0;37861428;2337,27;-645,667
3298;0;37872932;2330,25;-696,885
3299;0;37884416;2321,25;-1139,213
3300;0;37895904;2304,08;-1416,507
3301;0;37907388;2288,71;-713,105
3302;0;37918888;2287,69;843,63
3303;0;37930372;2308,1;1723,703
3304;0;37941856;2327,28;1055,449
3305;0;37953348;2332,35;-92,657
3306;0;37964844;2325,15;-988,079
3307;0;37976332;2309,64;-1154,884
3308;0;37987816;2298,62;-460,125
3309;0;37999304;2299,07;455,258
3310;0;38010792;2309,08;1181,233
3311;0;38022280;2326,21;980,776
3312;0;38033784;2331,63;-5,219
3313;0;38045272;2326,09;-1170,991
3314;0;38056756;2304,73;-1770,235
3315;0;38068252;2285,41;-936,304
3316;0;38079740;2283,21;80,491
3317;0;38091236;2287,26;768,327
3318;0;38102712;2300,86;1168,611
3319;0;38114212;2314,11;927,005
3320;0;38125700;2322,17;175,744
3321;0;38137200;2318,15;-585,625
3322;0;38148684;2308,71;-815,057
3323;0;38160180;2299,42;-594,326
3324;0;38171668;2295,05;-233,804
3325;0;38183148;2294,05;79,634
3326;0;38194648;2296,88;-138,381
3327;0;38206128;2290,87;-652,742
3328;0;38217628;2281,88;-695,266
3329;0;38229112;2274,89;-798,956
3330;0;38240608;2263,52;-1325,474
3331;0;38252100;2244,42;-1513,318
3332;0;38263584;2228,75;-787,206
3333;0;38275080;2226,33;107,901
3334;0;38286568;2231,23;852,629
3335;0;38298056;2245,92;1187,097
3336;0;38309540;2258,5;935,214
3337;0;38321024;2267,4;651,436
3338;0;38332520;2273,47;107,901
3339;0;38344008;2269,88;-722,619
3340;0;38355492;2256,87;-900,226
3341;0;38366980;2249,2;-354,283
3342;0;38378468;2248,73;-83,957
3343;0;38389968;2247,27;-348,068
3344;0;38401452;2240,73;-523,337
3345;0;38412936;2235,25;-470,491
3346;0;38424428;2229,92;-615,539
3347;0;38435924;2221,1;-884,682
3348;13;38447408;2209,59;-624,13
3349;13;38458900;2206,76;342,907
3350;13;38470388;2217,47;1086,654
3351;13;38481888;2231,74;1367,038
3352;13;38493372;2248,89;1071,553
3353;13;38504864;2256,36;-30,902
3354;13;38516348;2248,18;-749,913
3355;13;38527840;2239,13;-451,619
3356;13;38539332;2237,8;-4,352
3357;13;38550820;2239,03;-71,802
3358;13;38562312;2236,15;-325,122
3359;13;38573796;2231,56;182,269
3360;13;38585300;2240,34;813,033
3361;13;38596784;2250,25;263,272
3362;13;38608280;2246,39;-708,877
3363;13;38619764;2233,96;-678,534
3364;13;38631256;2230,8;-160,602
3365;13;38642740;2230,27;-326,863
3366;13;38654232;2223,29;108,79
3367;13;38665720;2232,77;696,5
3368;13;38677204;2239,29;47,424
3369;13;38688704;2233,86;-200,47
3370;13;38700200;2234,68;474,761
3371;13;38711684;2244,77;1344,915
3372;13;38723168;2265,57;1534,546
3373;13;38734668;2280,04;815,927
3374;13;38746148;2284,32;-316,307
3375;13;38757652;2272,77;-1371,585
3376;13;38769136;2252,79;-1508,621
3377;13;38780620;2238,12;-736,906
3378;13;38792124;2235,85;214,422
3379;13;38803612;2243,05;1325,731
3380;13;38815100;2266,31;1752,959
3381;13;38826596;2283,34;997,042
3382;13;38838088;2289,23;640,233
3383;13;38849572;2298,05;664,171
3384;13;38861064;2304,49;1017,229
3385;13;38872556;2321,43;1539,701
3386;13;38884036;2339,86;693,647
3387;13;38895536;2337,37;-703,41
3388;13;38907024;2323,69;-1534,378
3389;13;38918516;2302,11;-1028,977
3390;13;38930008;2300,04;1205,171
3391;13;38941492;2329,8;2221,062
3392;13;38952988;2351,08;1192,114
3393;13;38964468;2357,19;264,143
3394;13;38975968;2357,15;-690,795
3395;13;38987456;2341,31;-1042,464
3396;13;38998952;2333,19;332,898
3397;13;39010436;2348,96;1059,986
3398;13;39021924;2357,54;268,93
3399;13;39033416;2355,14;-737,341
3400;13;39044912;2340,59;-1117,929
3401;13;39056396;2329,45;-349,93
3402;13;39067888;2332,55;391,944
3403;13;39079384;2338,46;183,203
3404;13;39090868;2336,76;-536,647
3405;13;39102360;2326,13;-828,258
3406;13;39113856;2317,72;-489,036
3407;13;39125344;2314,89;398,311
3408;13;39136828;2326,87;1233,026
3409;13;39148320;2343,22;1092,119
3410;13;39159820;2351,98;174,904
3411;13;39171304;2347,24;-684,943
3412;13;39182800;2336,24;-950,827
3413;13;39194284;2325,39;-764,276
3414;13;39205776;2318,68;-107,068
3415;13;39217260;2322,93;480,418
3416;13;39228756;2329,72;-87,452
3417;13;39240244;2320,92;-989,638
3418;13;39251724;2306,99;-1087,657
3419;13;39263220;2295,93;-103,532
3420;13;39274712;2304,61;1655,352
3421;13;39286200;2333,97;2279,335
3422;13;39297688;2356,98;1943,623
3423;13;39309188;2378,65;1238,907
3424;0;39320676;2385,46;-853,351
3425;0;39332168;2359,04;-2886,858
3426;0;39343656;2319,12;-2776,327
3427;0;39355148;2295,24;-1469,539
3428;14;39366636;2285,35;-392,08
3429;14;39378128;2286,23;585,727
3430;14;39389616;2298,81;1012,361
3431;14;39401104;2309,49;1032,817
3432;14;39412592;2322,54;836,669
3433;14;39424088;2328,72;296,242
3434;14;39435580;2329,35;-25,244
3435;14;39447064;2328,14;-204,633
3436;14;39458548;2324,65;-43,524
3437;14;39470040;2327,14;-99,617
3438;14;39481536;2322,36;-678,298
3439;14;39493024;2311,55;-593,331
3440;14;39504508;2308,73;-295,526
3441;14;39516000;2304,76;283,241
3442;14;39527492;2315,24;916,449
3443;14;39538980;2325,82;720,191
3444;14;39550472;2331,79;642,198
3445;14;39561948;2340,57;420,874
3446;14;39573448;2341,46;-514,437
3447;14;39584944;2328,74;-890,339
3448;14;39596428;2321;-475,61
3449;14;39607904;2317,82;-74,822
3450;14;39619416;2319,28;731,432
3451;14;39630900;2334,64;865,1
3452;14;39642396;2339,16;155,325
3453;14;39653884;2338,21;-342,967
3454;14;39665372;2331,28;-599,443
3455;14;39676872;2324,43;197,929
3456;14;39688360;2335,83;1053,525
3457;14;39699852;2348,64;1041,086
3458;14;39711336;2359,75;749,652
3459;14;39722836;2365,87;-190,099
3460;14;39734324;2355,38;-1188,425
3461;14;39745816;2338,56;-1513,318
3462;14;39757300;2320,61;-965,959
3463;14;39768788;2316,37;503,306
3464;14;39780288;2332,18;2003,219
3465;14;39791776;2362,42;2184,998
3466;14;39803272;2382,4;933,856
3467;14;39814756;2383,88;-476,667
3468;14;39826244;2371,45;-2000,957
3469;14;39837740;2337,89;-2723,673
3470;14;39849224;2308,86;-1415,39
3471;14;39860716;2305,37;977,011
3472;14;39872192;2331,3;2602,298
3473;14;39883688;2365,15;2604,384
3474;14;39895184;2391,18;1859,99
3475;0;39906672;2407,9;511,057
3476;0;39918156;2402,92;-1090,268
3477;0;39929648;2382,85;-1667,537
3478;0;39941136;2364,6;-1179,951
3479;0;39952632;2355,73;-798,956
3480;0;39964116;2346,24;-1306,373
3481;0;39975604;2325,72;-1355,689
3482;0;39987108;2315,07;-670,466
3483;0;39998588;2310,31;398,242
3484;0;40010084;2324,22;1708,855
3485;0;40021580;2349,6;1763,836
3486;0;40033068;2364,76;402,664
3487;0;40044552;2358,85;-1186,249
3488;0;40056048;2337,5;-2132,852
3489;0;40067540;2309,82;-1965,529
3490;15;40079024;2292,34;-734,68
3491;15;40090516;2292,94;519,492
3492;15;40102008;2304,28;899,756
3493;15;40113500;2313,62;551,88
3494;15;40124984;2316,96;148,851
3495;15;40136476;2317,04;86,582
3496;15;40147968;2318,95;-132,701
3497;15;40159460;2313,99;-315,872
3498;15;40170952;2311,69;85,742
3499;15;40182436;2315,96;455,969
3500;15;40193936;2322,17;639,575
3501;15;40205420;2330,66;579,634
3502;15;40216916;2335,49;-23,064
3503;15;40228400;2330,13;-1028,029
3504;15;40239892;2311,87;-1322,659
3505;15;40251384;2299,73;-426,458
3506;15;40262872;2302,07;883,966
3507;15;40274360;2320,04;1722,832
3508;15;40285840;2341,64;1624,456
3509;15;40297340;2357,37;1117,391
3510;15;40308840;2367,34;162,722
3511;15;40320324;2361,11;-629,243
3512;15;40331820;2352,88;100,94
3513;15;40343308;2363,43;1278,726
3514;15;40354796;2382,26;1360,947
3515;15;40366292;2394,71;655,238
3516;15;40377780;2397,32;450,035
3517;0;40389268;2405,05;-89,674
3518;0;40400752;2395,26;-1257,615
3519;0;40412248;2376,15;-1519,224
3520;0;40423744;2360,33;-944,57
3521;0;40435232;2354,44;392,652
3522;0;40446716;2369,35;1595,578
3523;0;40458208;2391,1;1287,641
3524;0;40469696;2398,94;-151,924
3525;0;40481180;2387,61;-1907,746
3526;0;40492676;2355,1;-2611,343
3527;0;40504172;2327,57;-1356,832
3528;0;40515656;2323,92;481,723
3529;0;40527152;2338,64;832,608
3530;0;40538644;2343,06;-188,121
3531;0;40550116;2334,32;-769,063
3532;0;40561620;2325,39;-868,847
3533;0;40573112;2314,34;-738,903
3534;0;40584600;2308,41;139,3
3535;0;40596084;2317,54;1227,597
3536;0;40607588;2336,63;1050,113
3537;0;40619072;2341,68;24,369
3538;0;40630568;2337,19;-676,558
3539;0;40642056;2326,13;-949,417
3540;0;40653540;2315,38;-440,024
3541;0;40665032;2316,02;344,768
3542;0;40676512;2323,3;941,852
3543;0;40688008;2337,66;1154,482
3544;0;40699492;2349,83;-90,094
3545;0;40710984;2335,59;-1615,626
3546;0;40722480;2312,69;-1647,084
3547;0;40733964;2297,74;-628,482
3548;0;40745456;2298,25;67,015
3549;0;40756944;2299,28;189,229
3550;0;40768444;2302,6;320,223
3551;0;40779928;2306,64;400,853
3552;0;40791420;2311,81;494,778
3553;0;40802908;2318,01;-30,467
3554;0;40814396;2311,11;-1163,651
3555;0;40825896;2291,26;-2119,735
3556;0;40837380;2262,39;-2139,997
3557;0;40848868;2242,1;-1502,699
3558;0;40860352;2227,87;-739,903
3559;0;40871844;2225,1;541,587
3560;0;40883340;2240,32;1519,753
3561;0;40894828;2260,03;1316,797
3562;0;40906320;2270,58;-4,351
3563;0;40917812;2259,93;-1374,674
3564;0;40929300;2238,99;-1307,244
3565;0;40940784;2229,9;102,263
3566;0;40952280;2241,34;1430,437
3567;0;40963756;2262,76;1276,985
3568;0;40975256;2270,68;568,459
3569;0;40986748;2275,83;168,813
3570;0;40998240;2274,56;-394,622
3571;0;41009732;2266,76;-344,648
3572;0;41021220;2266,64;380,331
3573;0;41032712;2275,5;885,707
3574;0;41044196;2286,99;969,708
3575;0;41055688;2297,78;766,15
3576;0;41067168;2304,59;260,661
3577;0;41078668;2303,77;-332,724
3578;0;41090160;2296,94;-697,877
3579;0;41101652;2287,73;-272,316
3580;0;41113148;2290,68;989,647
3581;0;41124640;2310,48;1107,92
3582;0;41136128;2316,14;188,392
3583;0;41147624;2314,81;-75,705
3584;0;41159112;2314,4;-224,186
3585;0;41170596;2309,66;-461,867
3586;0;41182084;2303,79;-474,326
3587;0;41193576;2298,76;-268,401
3588;0;41205072;2297,62;-354,221
3589;0;41216556;2290,62;-779,509
3590;0;41228048;2279,71;-803,898
3591;0;41239544;2272,14;-284,16
3592;0;41251028;2273,18;-12,626
3593;0;41262512;2271,85;-417,029
3594;0;41274000;2263,6;-1105,794
3595;0;41285500;2246,43;-1642,31
3596;16;41296992;2225,84;-1438,827
3597;16;41308484;2213,36;-67,897
3598;16;41319968;2224,28;1497,301
3599;16;41331452;2247,75;1835,074
3600;16;41342948;2266,45;1350,94
3601;16;41354436;2278,8;565,274
3602;16;41365928;2279,44;-680,512
3603;16;41377404;2263,17;-1479,37
3604;16;41388904;2245,45;-1052,906
3605;16;41400388;2238,97;229,33
3606;16;41411884;2250,72;1640,856
3607;16;41423376;2276,69;1975,104
3608;16;41434860;2296,1;497,476
3609;16;41446352;2288,12;-1583
3610;16;41457848;2259,71;-2338,583
3611;16;41469336;2234,37;-1717,009
3612;16;41480824;2220,26;-591,052
3613;16;41492312;2220,79;528,285
3614;16;41503804;2232,4;675,923
3615;16;41515288;2236,32;100,957
3616;16;41526784;2234,72;-40,049
3617;16;41538260;2235,4;24,808
3618;16;41549760;2235,29;-374,108
3619;16;41561248;2226,8;-581,142
3620;16;41572732;2221,94;23,068
3621;16;41584224;2227,33;377,654
3622;16;41595716;2230,62;832,898
3623;16;41607204;2246,47;1443,178
3624;16;41618700;2263,79;811,293
3625;16;41630192;2265,12;87,483
3626;16;41641676;2265,8;745,301
3627;16;41653176;2282,25;2258,177
3628;16;41664668;2317,72;2765,93
3629;16;41676152;2345,8;1535,515
3630;0;41687644;2353;-167,566
3631;0;41699128;2341,95;-1746,128
3632;0;41710632;2312,86;-2191,143
3633;0;41722116;2291,58;-1545,526
3634;0;41733608;2277,35;-595,404
3635;0;41745092;2277,9;848,851
3636;0;41756592;2296,86;1262,613
3637;0;41768084;2306,93;134,418
3638;0;41779580;2299,95;-707,761
3639;0;41791072;2290,66;-576,588
3640;0;41802560;2286,7;-560,683
3641;0;41814044;2277,78;-699,861
3642;0;41825536;2270,62;-730,2
3643;0;41837024;2261;-1016,632
3644;0;41848504;2247,27;-1241,95
3645;0;41860004;2232,46;-1157,125
3646;0;41871492;2220,67;-961,271
3647;0;41882984;2210,37;-341,166
3648;0;41894472;2212,83;408,687
3649;0;41905960;2219,76;669,829
3650;0;41917448;2228,22;687,435
3651;0;41928944;2235,56;612,165
3652;0;41940432;2242,29;733,449
3653;0;41951904;2252,4;863,66
3654;0;41963404;2262,13;705,898
3655;0;41974896;2268,63;340,731
3656;0;41986384;2269,96;-453,438
3657;0;41997876;2258,21;-1440,818
3658;0;42009364;2236,85;-2164,926
3659;0;42020856;2208,46;-2213,764
3660;0;42032352;2185,96;-1339,394
3661;0;42043844;2177,67;182,831
3662;0;42055324;2190,16;1612,272
3663;0;42066824;2214,72;1880,546
3664;0;42078312;2233,39;978,242
3665;0;42089804;2237,2;-228,935
3666;0;42101288;2228,13;-661,56
3667;0;42112780;2222;68,755
3668;0;42124268;2229,71;1344,849
3669;0;42135764;2252,91;1945,17
3670;0;42147248;2274,41;846,83
3671;0;42158732;2272,36;-1374,913
3672;0;42170224;2242,82;-2815,382
3673;0;42181720;2207,64;-2869,758
3674;0;42193212;2176,85;-2121,344
3675;17;42204696;2158,9;-972,319
3676;17;42216188;2154,51;968,5
3677;17;42227680;2181,16;2590,482
3678;17;42239176;2214,06;2077,023
3679;17;42250660;2228,89;500,261
3680;17;42262144;2225,55;-783,725
3681;17;42273640;2210,88;-876,544
3682;17;42285132;2205,4;-258,876
3683;17;42296624;2204,93;92,238
3684;17;42308116;2207,52;371,692
3685;17;42319600;2213,47;48,73
3686;17;42331100;2208,64;-477,557
3687;17;42342592;2202,49;-274,539
3688;17;42354084;2202,33;-45,692
3689;17;42365572;2201,44;-110,096
3690;17;42377064;2199,8;24,365
3691;17;42388556;2202;243,775
3692;17;42400036;2205,4;-95,769
3693;17;42411528;2199,8;-809,681
3694;17;42423008;2186,8;-1246,301
3695;17;42434508;2171,16;-1026,009
3696;17;42446000;2163,21;34,813
3697;17;42457488;2171,96;1328,574
3698;17;42468972;2193,73;1847,807
3699;17;42480472;2214,43;837,683
3700;17;42491964;2212,99;-825,648
3701;17;42503460;2195,45;-1412,476
3702;17;42514952;2180,52;-733,809
3703;17;42526436;2178,59;316,037
3704;17;42537924;2187,78;957,789
3705;17;42549416;2200,6;888,009
3706;17;42560908;2208,19;-147,11
3707;17;42572392;2197,22;-1250,218
3708;17;42583896;2179,45;-1285,888
3709;17;42595380;2167,66;-302,49
3710;17;42606872;2172,5;622,064
3711;17;42618368;2181,96;1013,231
3712;17;42629848;2195,78;1222,145
3713;17;42641344;2210,04;803,603
3714;17;42652832;2214,25;152,715
3715;17;42664328;2213,55;-619,454
3716;17;42675820;2200,01;-1379,701
3717;17;42687304;2181,85;-1187,348
3718;17;42698804;2172,72;33,919
3719;17;42710300;2182,63;1211,488
3720;17;42721784;2200,56;869,906
3721;17;42733268;2202,61;-409,344
3722;17;42744772;2191,15;-1338,929
3723;17;42756264;2171,82;-1480,773
3724;17;42767760;2157,11;-703,098
3725;17;42779248;2155,66;826,079
3726;17;42790736;2176,09;1874,13
3727;17;42802224;2198,72;1502,176
3728;17;42813716;2210,61;524,622
3729;17;42825212;2210,78;-529,156
3730;17;42836696;2198,45;-869,3
3731;17;42848196;2190,8;-257,135
3732;17;42859680;2192,54;856,111
3733;17;42871172;2210,47;1939,415
3734;17;42882656;2237,1;2369,039
3735;17;42894156;2264,92;2671,424
3736;17;42905640;2298,5;2868,274
3737;17;42917128;2330,81;3120,975
3738;17;42928620;2370,22;3701,237
3739;17;42940096;2415,82;3046,562
3740;0;42951600;2440,23;603,358
3741;0;42963084;2429,69;-2222,319
3742;0;42974576;2389,17;-3595,735
3743;0;42986064;2347,06;-2967,88
3744;0;42997552;2320,98;-1359,878
3745;0;43009044;2315,81;-262,356
3746;0;43020536;2314,95;-310,759
3747;0;43032020;2308,67;-176,768
3748;0;43043504;2310,89;1122,28
3749;0;43055000;2334,46;2184,998
3750;0;43066488;2361,11;1607,64
3751;0;43077984;2371,41;790,55
3752;0;43089472;2379,28;-242,862
